"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"image:Intro1.png","export/Intro1.png","http://oihanguren.com/itzulpenak/papersplease/Intro1.png"
"image:Obrinspector.png","export/Obrinspector.png","http://oihanguren.com/itzulpenak/papersplease/Obrinspector.png"
"image:Shutter.png","export/Shutter.png","http://oihanguren.com/itzulpenak/papersplease/Shutter.png"
"news:RANDOM_WEATHER","The Weather","Eguraldia"
"news:RANDOM_SPORTS","Sports","Kirolak"
"news:RANDOM_ENTERTAINMENT","Entertainment","Aisia"
"news:RANDOM_POLITICS","Politics","Politika"
"news:FIRST_DAY","Grestin Border Checkpoint Opens At Last!","Grestingo mugako kontrolgunea azkenean zabalik"
"news:FIRST_DAY","After 6 Long Years. Can the Ministry of Admission Keep Us Safe?","Sei urte luzeren ostean. Babes gaitzake Onarpen Ministerioak?"
"news:FIRST_DAY","Families To Reunite","Familiak elkartzeko zain"
"news:CHECKPOINT_SUCCESS","Grestin Checkpoint a Success!","Grestingo kontrolgunea, arrakastatsua"
"news:CHECKPOINT_SUCCESS","Entry Restrictions To Relax, Admit Foreigners","Sartzeko murrizketak malgutuko dira, atzerritarrak onartuz"
"news:CHECKPOINT_SUCCESS","Analysts Upbeat","Analistak baikor"
"news:CHECKPOINT_SUCCESS","Increased Trade And Cooperation Predicted","Merkataritzan eta kooperazioan hobekuntzak aurreikusten dira"
"news:FIRST_TERRORISTS","Terrorists Strike At Grestin!","Terroristen kolpea Grestinen!"
"news:FIRST_TERRORISTS","Kolechian Agitators Suspected.","Kolechiar agitatzaileak susmopean"
"news:FIRST_TERRORISTS","Checkpoint Lockdown","Kontrolgunea blokeaturik"
"news:FIRST_TERRORISTS","More Guards - More Scrutiny","Zaindari gehiago - Arakatze gehiago"
"news:BLACKMARKET_EXPLODES","Blackmarket Activity Explodes","Merkatu beltzaren jarduera goraka"
"news:BLACKMARKET_EXPLODES","Government Blames Lax Immigration Controls","Immigrazio kontrol malguei egotzi die errua gobernuak"
"news:BLACKMARKET_EXPLODES","Checkpoint Expansion Postponed","Kontrolguneen hedapena atzeratua"
"news:WORKPERMIT_FIRST","Jobs Few, Becoming Fewer","Lan gutxi, eta gutxiagotzen"
"news:WORKPERMIT_FIRST","Immigrants Taking Jobs From Locals","Etorkinek bertakoei lana kentzen diete"
"news:KOLECHIA_COMPLAINS_SEARCH","Kolechian Leader Files Complaint","Lider kolechiarra kexu"
"news:KOLECHIA_COMPLAINS_SEARCH","Claims Unprovoked Border Searches Violate Rights","Mugako arrazoi gabeko miaketek eskubideak urratzen dituztela dio"
"news:AFTER_SUICIDE_BOMBER","Another Attack At Grestin Checkpoint!","Beste eraso bat Grestingo kontrolgunean!"
"news:AFTER_SUICIDE_BOMBER","Suicide Bomber Slips Through Security","Erasotzaile suizida batek segurtasun kontrola saltatu du"
"news:GENERIC_BOMBER","Grestin Suffers Another Border Attack","Grestingo mugak beste eraso bat jasan du"
"news:GENERIC_BOMBER","Suicide Bombings Becoming Routine","Erasotzaile suizidak ohiko bihurtzen ari dira"
"news:PIMP_BUSTED","Human Trafficking Ring Shut Down!","Giza-trafikatzaile taldea geldiarazia"
"news:PIMP_BUSTED","Grestin Checkpoint Officer Nabs Mastermind","Grestingo kontrolguneko agenteak taldearen burua harrapatu du"
"news:PIMP_ESCAPED","Dancers At Grestin Club Found Dead!","Grestingo klubeko dantzariak erailak!"
"news:PIMP_ESCAPED","Newly Immigrated Girls Victims Of Human Trafficking","Neska etorkin iritsi berriak, giza trafikoaren biktima"
"news:KILLERATHLETE","Republian Track Star Wanted For Murder!","Republiako izarra, hilketagatik bilatua!"
"news:KILLERATHLETE","Vince Lestrade's Whereabouts Unknown - Has Likely Fled Republia","Vince Lestraderen arrastorik ez - Republiatik ihes egin duela uste da"
"news:KILLERATHLETE","Vince Lestrade: Profile","Vince Lestrade: profila"
"news:KILLERATHLETE","Girlfriend Killed In Jealous Rage?","Neskalaguna hil du jeloskor zelako?"
"news:KILLERATHLETE_DETAINED","Vince Lestrade Apprehended In Grestin!","Vince Lestrade Grestinen atzemana!"
"news:KILLERATHLETE_DETAINED","Track Champ Looks Quite Guilty Now","Pistako txapeldunaren erruduntasuna, ia ziurra"
"news:KILLERATHLETE_APPROVED","Vince Lestrade Spotted in Arstotzka","Vince Lestrade Arstotzkan ikusi dute"
"news:KILLERATHLETE_DENIED","Vince Lestrade Apprehended In Kolechia!","Vince Lestrade Kolechian harrapatua!"
"news:DIPLOMAT_FIRST","Kolechia Sends Top-Level Diplomat","Kolechiak goi mailako diplomazialaria bidali du"
"news:DIPLOMAT_FIRST","Normalizing Trade Top Issue","Merkataritza normalizatzea, lehentasunezko arazoa"
"news:BUSTED_SPY","Top-level Kolechian Exposed as Arstotzkan Spy!","Goi mailako kolechiarra, arstotzkar espioia!"
"news:BUSTED_SPY","Missing From Post, Presumed Dead","Ez da bere berririk, hila dela uste da"
"news:BUSTED_SPY_GAVEREALDOCS","Kolechia Cleans House - Eliminates Arstotzkan Spies","Garbiketa Kolechian - Arstotzkar espioiak ezabatuak"
"news:BUSTED_SPY_GAVEREALDOCS","Heroic Agents Compromised","Agente heroikoak arriskuan"
"news:BUSTED_SPY_GAVEFAKEDOCS","Kolechia Cleans House - Attacks Its Own!","Garbiketa Kolechian - Bertakoen kontra egin dute"
"news:BUSTED_SPY_GAVEFAKEDOCS","Round Of Disappearances Blamed On Faulty Evidence","Desagertze zikloa, funtsik gabeko ebidentziak errudun"
"news:FORGERY_NEWS","Theft At Ministry Of Admission!","Lapurreta Onarpen Ministerioan!"
"news:FORGERY_NEWS","Limited Effects - Few Items Stolen","Eragin mugatua - Gauza gutxi ostu dituzte"
"news:SECRET_SOCIETY","The History of Arstotzka","Arstotzkaren historia"
"news:SECRET_SOCIETY","In Pictures and Words - Mostly Words","Irudiz eta hitzez - Batez ere hitzez"
"news:CRIMINAL_ACTIVITY","A Criminal's Safe Haven","Kriminal baten babeslekua"
"news:CRIMINAL_ACTIVITY","Arstotzka Earns Dubious Reputation","Arstotzkak ospe txarra irabazi du"
"news:LOSING_GUARDS","Ministries Fight Over Staff","Ministerioak borrokan"
"news:LOSING_GUARDS","Qualified Guards, Soldiers In Demand","Zaindari eta gudari kualifikatu eske"
"news:LOSING_GUARDS","Consolidation, Reassignment At Border","Kontsolidazioa, birkokatzeak mugan"
"news:LOSING_GUARDS","Still Safe With Smaller Detail?","Seguru jarraitzen dugu zerbitzu murritzagoa izan arren?"
"news:RUNNER_AFTER_TRANQ","Grestin Incident Highlights Security Risks","Grestingoak segurtasun arriskuak azaleratu ditu"
"news:RUNNER_AFTER_TRANQ","Further Breaches Predicted","Huts egite gehiago aurreikusten dira"
"news:BIKE_ATTACK","Daring Bike Attack At Grestin Checkpoint!","Motoarekin erasoa Grestingo kontrolgunean!"
"news:BIKE_ATTACK","Extremists Growing Bolder - Grestin Like Magnet","Muturreko ekintzaileak ausartago - Grestin, erakargarria"
"news:BORDER_TARGETED","Can The Wall Hold?","Eutsiko al du hesiak?"
"news:BORDER_TARGETED","Border Safety Continually Questioned","Mugako segurtasuna etengabe auzitan"
"news:BIKERUNNER_NEWS","Coordinated Border Breach!","Koordinatutako erasoa mugari!"
"news:BIKERUNNER_NEWS","Unknown Assailants Swamp Security","Erasogile ezezagunek segurtasun indarrak menderatu zituzten"
"news:NOSY_JOURNALIST_APPROVED","Arstotzka's Frail Border","Arstotzkako muga hauskorra"
"news:NOSY_JOURNALIST_APPROVED","United Fed Reporter Exposes Lax Protocols","Fed. Batuko kazetariak protokolo malguak agerian jarri ditu"
"news:NOSY_JOURNALIST_DENIED","Arstotzka's Iron Border","Arstotzkako altzairuzko muga"
"news:NOSY_JOURNALIST_DENIED","Int. Media Reveals Entry Visa Bias","Nazioarteko komunikabideek sarrera lortzeko<br> aurreiritziak antzeman dituzte"
"news:IDSUPPLEMENT_INTRO","Another Bomber Slips Through!","Beste terrorista batek lortu du sartzea!"
"news:IDSUPPLEMENT_INTRO","Immigrant Screening Falls Short","Immigranteen ikuskatzea motz geratzen da"
"news:IDSUPPLEMENT_INTRO","M.O.A. Gets New Director","Zuzendari berria Onarpen Ministerioan"
"news:IDSUPPLEMENT_INTRO","Stricter Protocols Promised at Border","Mugarako protokolo zorrotzagoak hitzeman ditu"
"news:WHISTLEBLOWER_SETUP0","Antegria Domestic Spying Exposed!","Etxe barneko espioitza agerian Antegrian!"
"news:WHISTLEBLOWER_SETUP0","Whistleblower On The Run","Salatzaileak ihes egin du"
"news:WHISTLEBLOWER_SETUP1","Antegrian Whistleblower Denied Asylum In Republia","Antegriako salatzaileari asiloa ukatu diote Republian"
"news:WHISTLEBLOWER_SETUP2","Antegrian Whistleblower Turned Away From United Fed","Antegriako salatzailea Federazio Batutik kanporatu dute"
"news:WHISTLEBLOWER_COMING","Antegrian Whistleblower Accepted By Arstotzka","Antegriako salatzailea Arstotzkan onartu dute"
"news:WHISTLEBLOWER_COMING","Move Risks Angering Neighbors","Neurriak inguruko herrialdeak haserre ditzake"
"news:WHISTLEBLOWER_IN","Antegrian Whistleblower Arrives - Disappears Immediately","Antegriako salatzailea iritsi eta berehala desagertu da"
"news:WHISTLEBLOWER_OUT","Antegrian Whistleblower Turned Away - Whereabouts Unknown","Antegriako salatzailea kanporatu dute - ez da bere egoeraren berririk"
"news:IMPOR_UNHAPPY","Impor Protests Unbalanced Trade Restrictions","Imporrek trukerako muga ez-orekatuak salatu ditu"
"news:IMPOR_UNHAPPY","Claims Arstotzka Unfairly Taxes Imporian Goods","Arstotzkak Imporgo merkantziei zerga bidegabeak jartzen dizkiela dio"
"news:IMPOR_SANCTIONS_START","Impor Begins Trade Sanctions!","Imporrek trukerako zigorrak jarri ditu"
"news:IMPOR_SANCTIONS_START","Immediately Restricts All Imports From Arstotzka","Arstotzkako inportazio guztiak geldiarazi ditu"
"news:IMPOR_SANCTIONS_END","Impor Sanctions End!","Imporren zigorren amaiera!"
"news:IMPOR_SANCTIONS_END","Over So Fast? What Happened?","Bat-bateko amaiera? Zer gertatu da?"
"news:SURGERY_SETUP","Breakthrough Spinal Surgery Perfected","Aurrerapena bizkarrezurreko kirurgia hobetzean"
"news:SURGERY_SETUP","Only Possible With Arstotzkan Expertise","Arstotzkako ezagutzak funtsezkoak izan dira"
"news:VIRUS_PRIMER","Polio Resurfaces In United Fed","Polioa berragertu da Federazio Batuan"
"news:VIRUS_PRIMER","Isolated Diagnosis Or Something More?","Kasu isolatuak ala zerbait gehiago?"
"news:VIRUS_BAN_UNITED_FED","Full-blown Epidemic Threatens United Fed!","Federazio Batua izurritearen mehatxupean!"
"news:VIRUS_BAN_UNITED_FED","Previously Under Control, Polio Back With Vengeance","Aurrez kontrolpean zegoen Polioak mendekua hartu du bueltan"
"news:VIRUS_REQUIRE_CERT","Ministry of Health Acts To Protect Citizens","Osasun Ministerioa herritarrak babesteko lanean"
"news:VIRUS_REQUIRE_CERT","New Policy, Safeguards At Borders","Politika berria mugak zaintzeko"
"news:SERIAL_KILLER","Serial Child Killer Escapes United Fed Prison!","Fed. Batuko haurren serieko hiltzaileak ihes egin du"
"news:SERIAL_KILLER","Simon Wens: An Arstotzkan Native - Returning Home?","Simon Wens: jatorriz arstotzkarra - Etxera itzuliko da?"
"news:SERIAL_KILLER_MURDERED","Bloody Scene In Gennistora!","Odol-errekak Gennistoran!"
"news:SERIAL_KILLER_MURDERED","Simon Wens Found Dead In Confusing Mess","Simon Wens hilik aurkitu dute eszena nahasian"
"news:EZIC_ATTACK0","Grestin Metro Halted","Grestingo metroa geldiarazia"
"news:EZIC_ATTACK0","Tunnel Cave-in, Hints At Sabotage","Tunela behera etorri da eta sabotajea dirudi"
"news:EZIC_ATTACK1_GIFT","Gov't Headquarters In Paradizna Evacuated!","Paradiznako gobernuaren egoitza nagusia hustua"
"news:EZIC_ATTACK1_GIFT","Strange Gas Detected - Staff Safe, Records Missing","Gas ezezaguna antzeman da - langileak onik, baina dokumentuak faltan"
"news:EZIC_ATTACK1_NOGIFT","Head Minister Of Finance Missing!","Finantza Ministerioko burua desagertuta!"
"news:EZIC_ATTACK1_NOGIFT","Markets React With Fast Selling, Instability","Ezegonkortasuna: Merkatuek akzioak bizkor salduz erantzun dute."
"news:POISONING","Mysterious Poison Hospitalizes Several!","Pozoi misteriotsuaren ondorioz hainbat ospitaleratu"
"news:POISONING","Unnamed Immigrant Smuggles Deadly Agent","Izen gabeko etorkin baten agente hilkorra askatu du"
"news:MARKED_DIPLOMAT","Top-Level Talks Called","Goi mailako elkarrizketetarako deia"
"news:MARKED_DIPLOMAT","Grestin Territory Remains Dividing Issue","Grestingo lurraldeak zatiketarako arriskua izaten jarraitzen du"
"news:DIPLOMAT_SWAPPED","Kolechians Are Crazy","Kolechiarrak erotu dira"
"news:DIPLOMAT_SWAPPED","Bizarre Behavior From Top Negotiator Spoils Talks","Goi mailako negoziatzailearen jokaera bitxiak elkarrizketak zapuztu ditu"
"news:DIPLOMAT_ORIGINAL","A Tentative Understanding","Behin behineko elkar-ulertzea"
"news:DIPLOMAT_ORIGINAL","Kolechian Talks Establish Common Ground","Kolechiako elkarrizketetan oinarrizko zoru bat finkatu dute"
"news:TALKS_BREAK_DOWN","Roadblock To Kolechian Resolution","Oztopoak Kolechiako ebazpenarentzat"
"news:TALKS_BREAK_DOWN","Contested City Drives Wedge","Jabetza eztabaidatuko hiria da koxka"
"news:BORDER_CLOSING","Grestin Checkpoint Future Uncertain","Grestingo kontrolgunearen etorkizuna ezbaian"
"news:BORDER_CLOSING","Too Open, Too Soon?","Irekiegia da? Goizegi?"
"text:language_code","en","eu"
"text:language_name","ENGLISH","EUSKARA"
"text:language_author","Author","Ibai Oihanguren Sala"
"text:wrap_hyphen","-","-"
"text:created_by","created by Lucas Pope","Egilea: Lucas Pope"
"text:papers_please","Papers, please.","Paperak, mesedez."
"text:protocol_violated","Protocol Violated.","Protokoloa urratuta."
"text:unauth_confiscation","Unauthorized passport confiscation","Pasaportea baimen gabe konfiskatu da"
"text:missing_reason","Denial reason not given","Ez da ukatzeko kausa zehaztu"
"text:citation_warning","WARNING ISSUED - NO PENALTY","ABISUA EMANA - ZIGORRIK EZ"
"text:citation_lastwarning","LAST WARNING - NO PENALTY","AZKEN ABISUA - ZIGORRIK EZ"
"text:citation_penalty","PENALTY ASSESSED - $0 CREDITS","ZIGORRA EZARRIA - $0 KREDITU"
"text:border_next","NEXT!","HURRENGOA!"
"text:border_bomber","FOR KOLECHIA!","KOLECHIAGATIK!"
"text:border_comeback","COME BACK AT 6AM TOMORROW","ITZULI BIHAR GOIZEKO 6ETAN"
"text:border_announce0","ENTRY IS NOT GUARANTEED","SARRERA EZ DAGO BERMATURIK"
"text:border_announce1","HAVE YOUR DOCUMENTS READY","IZAN GERTU ZUEN DOKUMENTUAK"
"text:border_announce2","ARSTOTZKA WELCOMES YOU","ONGI ETORRI ARSTOTZKARA"
"text:border_guardout","OUT!","IRTEN!"
"text:border_elisa","ELISA!","ELISA!"
"text:family_son_budget","SON","SEMEA"
"text:family_wife_budget","WIFE","EMAZTEA"
"text:family_niece_budget","NIECE","ILOBA"
"text:family_uncle_budget","UNCLE","OSABA"
"text:family_mil_budget","MIL","AMAG."
"text:family_son_status","Son","Semea"
"text:family_wife_status","Wife","Emaztea"
"text:family_niece_status","Niece","Iloba"
"text:family_uncle_status","Uncle","Osaba"
"text:family_mil_status","Mother-in-law","Amaginarreba"
"text:family_son_message","son","semea"
"text:family_wife_message","wife","emaztea"
"text:family_niece_message","niece","iloba"
"text:family_uncle_message","uncle","osaba"
"text:family_mil_message","mother-in-law","amaginarreba"
"text:night_endof","END OF","GAUA"
"text:night_day","DAY $0","$0. EGUNA"
"text:family_verysick_1","Your $0 will die without medicine.","Zure $0 hil egingo da sendagairik gabe."
"text:family_verysick_many","Very sick family members will die without medicine.","Oso gaixo dauden senideak hil egingo dira sendagairik gabe."
"text:family_sick_1","Your $0 is sick and needs medicine.","Zure $0 gaixo dago eta sendagaiak behar ditu."
"text:family_sick_many","Your family needs medicine.","Zure familiak sendagaiak behar ditu."
"text:family_died_1","Your $0 has died.","Zure $0 hil da."
"text:family_died_2","Your $0 and $1 have died.","Zure $0 eta $1 hil dira."
"text:family_died_3","Your $0, $1, and $2 have died.","Zure $0, $1, eta $2 hil dira."
"text:family_died_4","Your $0, $1, $2, and $3 have died.","Zure $0, $1, $2, eta $3 hil dira."
"text:family_died_5","Your $0, $1, $2, $3, and $4 have died.","Zure $0, $1, $2, $3, eta $4 hil dira."
"text:family_escape_with_0","You leave behind everything.","Dena atzean utzi duzu."
"text:family_escape_with_1","You gather your $0 to leave for Obristan.","Obristanera zoaz $0 zurekin hartuta."
"text:family_escape_with_2","You gather your $0 and $1 to leave for Obristan.","Obristanera zoaz $0 eta $1 zurekin hartuta."
"text:family_escape_with_3","You gather your $0, $1, and $2 to leave for Obristan.","Obristanera zoaz $0, $1 eta $2 zurekin hartuta."
"text:family_escape_with_4","You gather your $0, $1, $2, and $3 to leave for Obristan.","Obristanera zoaz $0, $1, $2 eta $3 zurekin hartuta."
"text:family_escape_with_5","You gather your $0, $1, $2, $3, and $4 to leave for Obristan.","Obristanera zoaz $0, $1, $2, $3 eta $4 zurekin hartuta."
"text:family_escape_without_1","Your $0 prepares to return to Nirsk.","Zure $0 Nirskera itzultzeko prest dago."
"text:family_escape_without_2","Your $0 and $1 prepare to return to Nirsk.","Zure $0 eta $1 Nirskera itzultzeko prest daude."
"text:family_escape_without_3","Your $0, $1, and $2 prepare to return to Nirsk.","Zure $0, $1 eta $2 Nirskera itzultzeko prest daude."
"text:family_escape_without_4","Your $0, $1, $2, and $3 prepare to return to Nirsk.","Zure $0, $1, $2 eta $3 Nirskera itzultzeko prest daude."
"text:family_escape_without_5","Your $0, $1, $2, $3, and $4 prepare to return to Nirsk.","Zure $0, $1, $2, $3 eta $4 Nirskera itzultzeko prest daude."
"text:family_flee_final_0","Obristan Above All","Obristan Ororen Gainetik"
"text:family_flee_final_1","The safety of your $0 is unknown.","Ez dakizu zure $0 onik dagoen."
"text:family_flee_final_2","The safety of your $0 and $1 is unknown.","Ez dakizu zure $0 eta $1 onik dauden."
"text:family_flee_final_3","The safety of your $0, $1, and $2 is unknown.","Ez dakizu zure $0, $1 eta $2 onik dauden."
"text:family_flee_final_4","The safety of your $0, $1, $2, and $3 is unknown.","Ez dakizu zure $0, $1, $2 eta $3 onik dauden."
"text:family_flee_final_5","The safety of your $0, $1, $2, $3, and $4 is unknown.","Ez dakizu zure $0, $1, $2, $3 eta $4 onik dauden."
"text:budget_savings","SAVINGS","AURREZTUA"
"text:budget_salary","SALARY ($0)","SOLDATA ($0)"
"text:budget_penalties","PENALTIES ($0)","ZIGORRAK ($0)"
"text:budget_bribes","BRIBES","EROSKERIA"
"text:budget_rent","RENT","ERRENTA"
"text:budget_food","FOOD","JATEKOA"
"text:budget_heat","HEAT","BEROGAILUA"
"text:budget_medicine","MEDICINE ($0)","SENDAGAIAK ($0)"
"text:budget_sleep","SLEEP","LO EGIN"
"text:budget_escape","ESCAPE","IHES EGIN"
"text:menu_back","BACK","ITZULI"
"text:confirm_ok","OKAY","ADOS"
"text:confirm_cancel","CANCEL","UTZI"
"text:menu_mainmenu","MAIN MENU","MENU NAGUSIA"
"text:menu_resume","RESUME","JARRAITU"
"text:menu_quit","QUIT","IRTEN"
"text:menu_done","DONE","EGINDA"
"text:menu_story","STORY","ISTORIOA"
"text:menu_endless","ENDLESS","AMAIGABEA"
"text:menu_play","PLAY","JOLASTU"
"text:menu_fullscreen","Fullscreen","Pantaila osoan"
"text:menu_nudity","Nudity","Biluziak"
"text:menu_easy","Easy Mode","Modu erraza"
"text:menu_music","Music","Musika"
"text:menu_sound","Sound","Soinua"
"text:menu_dateformat","Date Format","Data formatua"
"text:menu_language","Language","Hizkuntza"
"text:menu_easytip","+ 20 credits per day","+ 20 kreditu eguneko"
"text:menu_stats","STATS","ESTATISTIKAK"
"text:menu_next","NEXT","HURRENGOA"
"text:menu_walktowork","WALK TO WORK","JOAN LANERA"
"text:menu_paused","PAUSED","PAUSATUTA"
"text:menu_settings","SETTINGS","EZARPENAK"
"text:menu_credits","CREDITS","KREDITUAK"
"text:menu_checkforupdates","CHECK FOR UPDATES","BILATU EGUNERATZEAK"
"text:stats_text","Played for $time
$processed travelers processed
$approved approved
$denied denied
$detained detained
$citations citations earned
$stamps stamps applied
Ending $endnum of $endtotal","Jolastutako denbora: $time
$processed bidaiari prozesatuta
$approved onartuta
$denied baztertuta
$detained atxilotuta
$citations zitazio jasota
$stamps zigilu ezarrita
Amaiera: $endnum / $endtotal"
"text:steam_noinit","STEAM CONNECTION FAILED

If this problem persists, re-install the Steam client.","STEAM KONEXIOAK HUTS EGIN DU

Arazoa ez bada konpontzen, berrinstalatu Steam bezeroa."
"text:steam_restartfailed","STEAM RESTART FAILED

If this problem persists, re-install the Steam client.","HUTS EGIN DU STEAM BERRABIARAZTEAK

Arazoa ez bada konpontzen, berrinstalatu Steam bezeroa."
"text:steam_noconnect","STEAM CONNECTION FAILED

The game will attempt to restart through the Steam client.","STEAM KONEXIOAK HUTS EGIN DU

Jokoa berrabiarazten saiatuko da Steam bezeroaren bidez."
"text:steam_restart","RESTART","BERRABIARAZI"
"text:load_title","Select day to continue or start a new game","Hautatu eguna jarraitzeko, edo hasi jokaldi berria"
"text:load_confirm_delete_single","Delete this day $0 save?

There is no undo.","Ezabatu $0 eguneko gordetako jokaldia?

Ezin da desegin."
"text:load_confirm_delete_multi","Delete this save branch from day $0 to day $1?

There is no undo.","Ezabatu $0 egunetik $1 egunera doan gordetako adarra?

Ezin da desegin."
"text:load_delete","DELETE","EZABATU"
"text:load_confirm_full","Save tracks full.

Continue from a right-most save or delete a save branch to free up a track.","Gordetzeko pistak beteta.

Jarraitu eskumako ertzean dagoen gordetako partida batetik edo ezabatu gordetako adar bat pista bat husteko."
"text:load_summary","Day $day
""$news""

$savings credits, $family family members,
$tokens tokens, apartment $apt","$day. eguna
""$news""

$savings kreditu, $family senide zurekin,
$tokens token, $apt apartamentua"
"text:load_continue","CONTINUE","JARRAITU"
"text:emotion_happy","HAPPY","POZIK"
"text:emotion_ok","OK","ONGI"
"text:emotion_sad","SAD","GOIBEL"
"text:emotion_cold","COLD","HOTZEZ"
