Context Note (not to translate),Speaker,English,Japanese,Korean,Simplified Chinese,Russian,Italian,French,German,Portuguese,Spanish,Traditional Chinese,Polish,Norwegian,Basque,File name,Line number
,Mentor,<10>.<10>.<10>.,<10>.<10>.<10>.,<10>…<10>…,<10>.<10>.<10>.,<10>.<10>.<10>.,<10>.<10>.<10>.,<10>.<10>.<10>.,<10>.<10>.<10>.,<10>.<10>.<10>.,<10>.<10>.<10>.,<10>.<10>.<10>.,<10>.<10>.<10>.,<10>.<10>.<10>.,<10>.<10>.<10>.,Dream/asioLessonFlightFailed,60
,Mentor,Tomorrow we'll go back to normal studies.,明日はいつもの授業に戻ろう。,내일부터는 다시 일반 수업으로 돌아가겠다.,明天我们还是恢复正常教学吧。,Завтра мы вернемся к обычным занятиям.,Domani riprenderemo con i soliti studi.,Bihar ohiko ikasketetara itzuliko gaituk.,Morgen machen wir wieder das normale Programm.,Amanhã vamos voltar aos estudos normais.,Mañana reanudaremos los estudios habituales.,明天我們還是恢復正常教學吧。,Jutro wrócimy do zwyczajnej nauki.,I morgen går vi tilbake til vanlige klassetimer.,Bihar ohiko ikasketetara itzuliko gaituk.,Dream/asioLessonFlightFailed,68
,Mentor,It pains me to see such inept flying.,ぶざますぎて見ておれん。,그토록 미숙한 비행을 보니 참으로 슬프구나.,这样笨拙的飞行真是辣眼睛。,Мне больно смотреть на твои неуклюжие попытки.,Mi addolora vedere tanta inettitudine nel volo.,Horren hegakera traketsa ikusteak min ematen zidak.,So eine ungeschickte Fliegerei schmerzt mich einfach.,É doloroso ver alguém voar tão mal.,Me duele ver tanta ineptitud en el vuelo.,這樣笨拙的飛行真是辣眼睛。,Przykro patrzeć na takie marne latanie.,Det smerter meg å se så dårlig flyving.,Horren hegakera traketsa ikusteak min ematen zidak.,Dream/asioLessonFlightFailed,68
,PickupMentor,"Quickly, Otus, they are short on water in Vellie!",急げ、ヴェリーに水を運ばねば！,"서두르거라, 오투스. 벨리가 가뭄에 시달리고 있다!",快点，Otus，Vellie饱受干旱之苦！,"Скорей, Отус, в Веллье не хватает воды!","Presto, Otus, a Vellie sono a corto d'acqua!","Bizkor, Otus, <20>ia ez ditek urik Vellien!<40>","Schnell, Otus, in Vellie gibt es nur noch wenig Wasser!","Rápido, Otus, eles estão ficando sem água em Vellie!","¡Rápido, Otus, casi no les queda agua en Vellie!",快點，Otus，Vellie飽受乾旱之苦！,"Szybko, Otusie, w Vellie brakuje wody!",Fort!,"Bizkor, Otus, <20>ia ez ditek urik Vellien!<40>",Dream/asioLessonPickups,105
,PickupMentor,People need our help!,われらが頼りだ！,모두가 우리의 도움을 기다리고 있단다!,人们需要帮助！,Людям нужна наша помощь!,Hanno bisogno del nostro aiuto!,Gure laguntza behar ditek!<40>,Die Menschen brauchen unsere Hilfe!,As pessoas precisam da nossa ajuda!,¡La gente necesita nuestra ayuda!,人們需要協助！,Ludzie potrzebują naszej pomocy!,Folk trenger vann!,Gure laguntza behar ditek!<40>,Dream/asioLessonPickups,121
,PickupMentor,The drought isn't as patient<nl>with your sluggishness as I am!,干ばつはノロマなおまえを<nl>待ってはくれんぞ！,가뭄은 너의 굼뜬 행동을<nl>나처럼 기다려주지 않아!,这场旱灾可不会像<nl>我包容你的迟钝一样耐心。,"Засуха не будет так терпелива<nl>к твоей нерасторопности, как я!",La siccità non è paziente con la<nl>tua pigrizia tanto quanto lo sono io!,Lehorteak ez dik nik besteko pazientziarik<nl>hire moteltasunarekin!,Die Dürre hat mit deiner<nl>Schwerfälligkeit nicht so viel Geduld wie ich!,A seca não é tão paciente com<nl>a sua lerdeza como eu sou!,¡La sequía no es tan paciente con<nl>tu lentitud como yo!,這場旱災可不會像<nl>我包容你的遲鈍一樣耐心。,"Ja mogę tolerować twoją<nl>powolność, ale susza czekać nie będzie!",Tørken er ikke like tålmodig som meg!,Lehorteak ez dik nik besteko pazientziarik<nl>hire moteltasunarekin!,Dream/asioLessonPickups,134
,PickupMentor,Why have you left the<nl>water jug on the ground?!,水がめを置き忘れて<nl>どうする？！,왜 물동이를 땅에<nl>내버려 둔 거냐?!,你怎么把<nl>水壶忘在地上了？！,Почему ты оставил<nl>сосуд с водой на земле?!,Perché hai lasciato<nl>la brocca dell'acqua a terra?!,Zergatik utzi duk<nl>ur-pitxerra lurrean?!,Warum hast du den<nl>Wasserkrug am Boden gelassen?!,Por que você deixou o<nl>jarro de água no chão?!,¡¿Por qué has dejado la<nl>jarra de agua en el suelo?!,你怎麼把<nl>水壺忘在地上了？！,Dlaczego zostawiłeś z<nl>dzbanek wody na ziemi?!,Hvorfor har du latt vannkrukken stå på bakken?!,Zergatik utzi duk<nl>ur-pitxerra lurrean?!,Dream/asioLessonPickups,149
,PickupMentor,Pick it up immediately!<nl>Hurry up!,早く取ってこい！<nl>急げ！,당장 집거라!<nl>어서!,马上捡起来！<nl>快点！,Возьми его немедленно!<nl>Скорей!,Vai immediatamente a prenderla!<nl>Sbrigati!,Jasozak berehala!<nl>Bizkor!,Nimm ihn sofort vom Boden!<nl>Beeile dich!,Pegue-o imediatamente!<nl>Rápido!,¡Recógela inmediatamente!<nl>¡Date prisa!,馬上撿起來！<nl>快點！,Natychmiast go podnieś!<nl>Szybko!,Plukk den opp med det samme!,Jasozak berehala!<nl>Bizkor!,Dream/asioLessonPickups,173
,PickupMentor,Hang on...,待てい...,잠시만…,等等……,Постой...,Fermo!,Itxoin...,Warte mal ...,Calma...,Espera...,等等……,Poczekaj...,Vent...,Itxoin...,Dream/asioLessonPickups,211
,PickupMentor,You've been sloshing the jug around!,水をジャバジャバこぼしておるぞ！,오면서 물동이를 심하게 흔들지 않았느냐!,你这水壶拿得东摇西晃的！,Ты выплескиваешь воду!,Stai rovesciando tutto il contenuto della brocca!,Pitxerreko ura bota duk!,Du verschüttest Wasser aus dem Krug!,Você ficou balançando o jarro de água por aí!,¡Has derramado el contenido de la jarra!,你這水壺拿得東搖西晃的！,Porozlewałeś wodę z dzbanka!,Du har skvulpet med krukken!,Pitxerreko ura bota duk!,Dream/asioLessonPickups,211
,PickupMentor,Let me check if there's any water left.,まだ残っているか確かめたい。,남은 물이 있나 확인해 보겠다.,我看看里面还有没有水。,"Дай я посмотрю, осталось ли внутри хоть что-нибудь.",Fammi controllare se è rimasta dell'acqua.,Utzidak ikusten ea urik gelditzen den.,"Lass mal sehen, ob überhaupt noch etwas Wasser drin ist!",Deixe-me ver se ainda tem água ou não.,Déjame comprobar si queda agua.,我看看裡面還有沒有水。,"Sprawdzę, czy cokolwiek zostało.",La meg sjekke om det er noe vann igjen.,Utzidak ikusten ea urik gelditzen den.,Dream/asioLessonPickups,211
,PickupMentor,Put the jug down here.,水がめをそこに置くのだ。,물동이를 여기에 놓거라.,把壶放在这。,Поставь сосуд сюда.,Appoggia qui la brocca.,Ekarri pitxerra hona.,Stell den Krug dort ab!,Coloque o jarro aqui.,Pon la jarra aquí.,把壺放在這。,Postaw dzbanek tutaj.,Sett krukken der.,Ekarri pitxerra hona.,Dream/asioLessonPickups,243
,PickupMentor,Hey! <30>Stop fooling around!,おい！<30>遊んでいる場合か！,오투스! <30>바보 같은 짓거리는 그만두거라!,嗨！<30>别磨磨蹭蹭的！,Эй! <30>Хватит дурачиться!,Ehi! <30>Smettila di fare lo stupido!,Ei! <30>Utzi txorakeriak!,Hey! <30>Lass den Blödsinn!,Ei! <30>Pare de brincar!,¡Oye! <30>¡Deja de hacer el tonto!,嗨！<30>別磨磨蹭蹭的！,Hej! <30>Przestań się wygłupiać!,Hei! <30>Slutt å daffe rundt!,Ei! <30>Utzi txorakeriak!,Dream/asioLessonPickupsReminder,14
,PickupMentor,Put the jug down over here!,水がめをそこに置くのだ！,어서 물동이를 이곳에 내려놓거라!,把壶放在这里！,Поставь сосуд сюда!,Poggia la brocca quaggiù!,Ekarri pitxerra hona!,Stell den Krug dort drüben ab!,Coloque o jarro aqui deste lado!,¡Deja la jarra aquí!,把壺放在這裡！,Postaw tutaj dzbanek!,Sett krukken ned der borte!,Ekarri pitxerra hona!,Dream/asioLessonPickupsReminder,14
,PickupMentor,"Place the jug here, next to me!",水がめを置けい、私の横に！,물동이를 내 옆에 두란 말이다!,把壶放在我旁边！,"Ставь сюда, рядом со мной!","Metti la brocca qui, vicino a me!","Uztak hemen, nire alboan!","Stell den Krug hier ab, neben mir!","Coloque o jarro aqui, perto de mim!","¡Coloca la jarra aquí, a mi lado!",把壺放在我旁邊！,Postaw dzbanek obok mnie!,"Sett krukken her, ved siden av meg!","Uztak hemen, nire alboan!",Dream/asioLessonPickupsReminder,14
,PickupMentor,Are you blind?! <30>Put it down there!,目はついとるか？！<30>水がめをそこへ置け！,눈까지 먼 거냐?! <30>여기 내려놓으란 말이다!,你瞎啊？！<30>放在那里！,"Ты что, ослеп?! <30>Сюда поставь!",Sei cieco?! <30>Poggiala lì!,Itsu hago?! <30>Uztak hemen!,Bist du blind?! <30>Stell ihn dort ab!,Você está cego?! <30>Coloque aqui!,¡¿Estás ciego?! <30>¡Que la dejes aquí!,你瞎啊？！<30>放在那裡！,Jesteś ślepy?! <30>Postaw go!,Er du blind?! <30>Sett den ned her!,Itsu hago?! <30>Uztak hemen!,Dream/asioLessonPickupsReminder,14
,PickupMentor,NO!,よせ！！！,안돼!,不对！,НЕТ!,NO!,EZ!,NEIN!,NÃO!,¡NO!,不對！,NIE!,NEI!,EZ!,Dream/asioLessonPickupsFailed,34
,PickupMentor,"I told you to put it down,<nl>not to smash it!",私は置けと言ったのだ。<nl>たたき割ってどうする！,"내가 내려놓으랬지,<nl>던져 부숴라더냐!",我让你放下来，<nl>不是砸下来！,"Я же сказал поставить,<nl>а не бросить!","Ti ho detto di appoggiarla a terra,<nl>non di spaccarla!","Hemen uzteko esan diat,<nl>ez hona botatzeko!","Du solltest ihn abstellen,<nl>nicht zerschmettern!","Eu disse para colocar,<nl>não para quebrar!","¡Te dije que la dejaras, no<nl>que la destrozaras!",我讓你放下來，<nl>不是砸下來！,"Kazałem ci go postawić,<nl>a nie zniszczyć!","Jeg ba deg om å sette den ned,<nl>ikke om å KNUSE den!","Hemen uzteko esan diat,<nl>ez hona botatzeko!",Dream/asioLessonPickupsFailed,41
,PickupMentor,How are we supposed to bring<nl>water to the villagers now?!,これでは村へ水を運べんぞ！,이제 물을 어떻게 마을로<nl>가져간단 말이냐?!,你这样我们怎么把<nl>水送到村民手上？！,Как мы теперь отнесем<nl>воду жителям деревни?!,Adesso come faremo a portare<nl>l'acqua agli abitanti del villaggio?!,Nola eramango zieagu<nl>ura herritarrei orain?!,Wie sollen wir die Dorfbewohner<nl>jetzt mit Wasser versorgen?!,Como vamos levar a<nl>água para os aldeões agora?!,¡¿Cómo pretendes ahora que llevemos<nl>agua a los aldeanos?!,你這樣我們怎麼把<nl>水送到村民手上？！,I jak teraz zaniesiemy<nl>wodę mieszkańcom wsi?!,Hvordan skal vi frakte vann<nl>til landsbyen nå?!,Nola eramango zieagu<nl>ura herritarrei orain?!,Dream/asioLessonPickupsFailed,65
,PickupMentor,I will not forget this!,このことは覚えておく！,이 일은 잊지 않을 것이다!,我饶不了你！,Я этого не забуду!,Questo non lo dimenticherò!,Ez diat hau ahaztuko!,Das werde ich nicht vergessen!,Eu não esquecerei isto!,¡No olvidaré esto!,我饒不了你！,Nie zapomnę o tym!,Dette kommer jeg ikke til å glemme!,Ez diat hau ahaztuko!,Dream/asioLessonPickupsFailed,83
,PickupMentor,And I will make sure that<nl>the others are aware of what<nl>your incompetence has cost us!,おまえの未熟さが民を苦しめたこと、<nl>必ずや人々の耳に入ろう！,그리고 모두에게 너의 무능함이<nl>어떠한 피해를 가져왔는지<nl>알리도록 하겠다!,我保证会让<nl>其他人知道<nl>你的无能给我们带来了多大的损失！,"И я сделаю так, чтобы<nl>остальные узнали, как дорого<nl>нам стоит твоя неловкость!",E mi assicurerò che gli altri sappiano<nl>quanto ci è costata la tua incompetenza!,"Eta neu arduratuko nauk<nl>beste denei ere esaten,<nl>jakin dezaten hire inkonpetentziak<nl>zer kalte egin digun!","Und ich werde die anderen<nl>wissen lassen, was uns deine<nl>Unfähigkeit gekostet hat!",E garanto que<nl>os outros saberão que<nl>a sua incompetência custou caro!,¡Y me aseguraré de que<nl>los demás sepan<nl>lo que nos ha costado tu incompetencia!,我保證會讓<nl>其他人知道<nl>你的無能給我們帶來了多大的損失！,"Dopilnuję,<nl>żeby inni dowiedzieli się,<nl>ile nas kosztowała twoja niekompetencja!",Og jeg skal passe på at alle vet<nl>hva dumskapen din har kostet oss!,"Eta neu arduratuko nauk<nl>beste denei ere esaten,<nl>jakin dezaten hire inkonpetentziak<nl>zer kalte egin digun!",Dream/asioLessonPickupsFailed,87
,PickupMentor,Do you understand?!,よいな？！,알겠나?!,听明白了吗？！,Ты понял?!,Capito?!,Ulertzen al duk?!,Verstehst du?!,Entendeu?!,¡¿Lo has entendido?!,聽明白了嗎？！,Rozumiesz?!,Skjønner du?!,Ulertzen al duk?!,Dream/asioLessonPickupsFailed,91
,PickupMentor,"I cannot describe how<nl>disappointed I am in you, Otus.",失望したぞ、オータス。<nl>言葉にもならん...,"내가 너에게 얼마나 실망했는지<nl>말로 설명할 수도 없구나, 오투스.",我对你的失望<nl>无法言表，Otus。,"Не могу описать, как я<nl>разочарован в тебе, Отус.","Non riesco nemmeno a esprimere<nl>quanto mi hai deluso, Otus.","Ezin diat azaldu zenbat<nl>dezepzionatu nauan, Otus.","Ich habe gar keine Worte dafür,<nl>wie enttäuscht ich von dir bin, Otus.","Não consigo descrever o quão<nl>decepcionado estou com você, Otus.","No te imaginas lo decepcionado<nl>que estoy contigo, Otus.",我對你的失望<nl>無法言表，Otus。,"Trudno wyrazić,<nl>jak bardzo jestem rozczarowany twoim postępowaniem, Otusie.","Jeg kan ikke beskrive hvor<nl>skuffet jeg er over deg, Otus.","Ezin diat azaldu zenbat<nl>dezepzionatu nauan, Otus.",Dream/asioLessonPickupsFailed,120
,PickupMentor,Leave me. <30>I will bring water to Vellie myself.,もう帰れ。<30>水は私が運んでおく。,떠나거라. <30>물은 내가 대신 벨리로 나르겠다.,滚吧。<30>我会亲自把水送到Vellie的。,Оставь меня. <30>Я сам отнесу воду в Веллье.,Vattene. <30>Porterò io l'acqua a Vellie.,Utz nazak. <30>Neronek eramango diat ura Velliera.,Lass mich allein! <30>Ich werde Vellie selbst mit Wasser versorgen.,Deixe-me. <30>Eu mesmo levarei água para Vellie.,Déjame. <30>Ya llevo yo el agua a Vellie.,滾吧。<30>我會親自把水送到Vellie的。,Odejdź. <30>Sam dostarczę wodę do Vellie.,Gå din vei. <30>Jeg frakter vann til Vellie på egenhånd.,Utz nazak. <30>Neronek eramango diat ura Velliera.,Dream/asioLessonPickupsFailed,124
,CoolMentor,"Otus, you have failed me again<30> and again<30> and again.",オータス、おまえには<30>何度も<30>何度も失望させられた。,"오투스, 나를 <30>몇 번이고<30> 몇 번이고 실망시키는구나.",Otus，你一次、<30>一次<30>又一次地搞砸了任务。,"Отус, ты подводишь меня снова<30> и снова<30> и снова.","Otus, mi hai deluso ancora<30> e ancora<30> e ancora.","Otus, huts egin didak,<30> behin<30> eta berriro<30> eta berriro.","Otus, du hast wieder<30> und wieder<30> und wieder versagt.","Otus, você falhou não só uma<30> vez, mas<30> várias.","Otus, me has fallado una<30> y otra <30>vez.",Otus，你一次、<30>一次<30>又一次地搞砸了任務。,"Otusie, zawiodłeś mnie raz<30>, potem drugi raz,<30> a potem jeszcze wiele razy.",Du har skuffet meg igjen<30> og igjen<30> og igjen.,"Otus, huts egin didak,<30> behin<30> eta berriro<30> eta berriro.",Dream/asioLessonPickupsFailed,192
,CoolMentor,Today there are no lessons.,今日の授業は休みだ。,오늘 수업은 없다.,今天不上课了。,Сегодня уроков не будет.,Oggi non ci sarà nessuna lezione.,Gaur ez zagok eskolarik.,Heute gibt es keine Lektionen.,Hoje não teremos lições.,Hoy no habrá clase.,今天不上課了。,Dzisiaj nie ma lekcji.,I dag får du ingen klassetimer.,Gaur ez zagok eskolarik.,Dream/asioLessonPickupsFailed,221
